	0.529	0.543	0.571	0.585	0.599	0.613	0.653	0.666	0.679	0.691	0.749	0.76	0.77	0.78	0.849
		0.514	0.543	0.557	0.571	0.585	0.627	0.64	0.653	0.666	0.727	0.738	0.749	0.76	0.834
			0.529	0.543	0.557	0.571	0.613	0.627	0.64	0.653	0.715	0.727	0.738	0.749	0.826
				0.514	0.529	0.543	0.585	0.599	0.613	0.627	0.691	0.703	0.715	0.727	0.808
					0.514	0.529	0.571	0.585	0.599	0.613	0.679	0.691	0.703	0.715	0.799
						0.514	0.557	0.571	0.585	0.599	0.666	0.679	0.691	0.703	0.79
							0.543	0.557	0.571	0.585	0.653	0.666	0.679	0.691	0.78
								0.514	0.529	0.543	0.613	0.627	0.64	0.653	0.749
									0.514	0.529	0.599	0.613	0.627	0.64	0.738
										0.514	0.585	0.599	0.613	0.627	0.727
											0.571	0.585	0.599	0.613	0.715
												0.514	0.529	0.543	0.653
													0.514	0.529	0.64
														0.514	0.627
															0.613
															
